PeakID	Annotation
1-2958	promoter
1-6400	promoter
1-94853	enhancer
1-14753	enhancer
1-63894	enhancer
1-490	enhancer
1-5375	promoter
1-64716	promoter
1-107621	promoter
1-67744	promoter
1-30003	promoter
1-93792	enhancer
1-81262	enhancer
1-17319	enhancer
1-8511	enhancer
1-77775	enhancer
1-44659	promoter
1-41331	enhancer
1-85914	enhancer
1-107920	promoter
1-69047	enhancer
1-31071	enhancer
1-75419	promoter
1-69828	enhancer
1-48965	enhancer
1-36795	enhancer
1-40755	enhancer
1-73495	enhancer
1-107947	enhancer
1-21368	enhancer
1-47423	enhancer
1-29989	enhancer
1-101095	promoter
1-71848	enhancer
1-61912	enhancer
1-76184	promoter
1-80068	enhancer
1-23277	enhancer
1-6594	enhancer
1-71392	enhancer
1-18122	enhancer
1-38385	enhancer
1-78803	enhancer
1-44404	enhancer
1-78217	promoter
1-37666	enhancer
1-80488	promoter
1-48494	promoter
1-9681	enhancer
1-28685	enhancer
1-26464	promoter
1-35509	promoter
1-34141	enhancer
1-41870	enhancer
1-35992	promoter
1-81338	enhancer
1-44265	enhancer
1-36874	enhancer
1-103444	enhancer
1-62636	promoter
1-32918	promoter
1-30042	enhancer
1-9277	promoter
1-10500	promoter
1-2832	promoter
1-40729	enhancer
1-98143	enhancer
1-29084	promoter
1-35986	enhancer
1-92613	enhancer
1-37731	promoter
1-65432	enhancer
1-47485	promoter
1-106366	enhancer
1-109367	promoter
1-57823	enhancer
1-82916	enhancer
1-103121	promoter
1-65022	enhancer
1-1661	promoter
1-78072	enhancer
1-55762	enhancer
1-77089	enhancer
1-51614	enhancer
1-51338	enhancer
1-42907	enhancer
1-110141	enhancer
1-82467	enhancer
1-82401	promoter
1-12125	promoter
1-69113	enhancer
1-53724	enhancer
1-19809	promoter
1-48919	enhancer
1-101512	enhancer
1-53154	enhancer
1-28220	promoter
1-17561	enhancer
1-12278	promoter
1-81580	enhancer
1-11457	promoter
1-55817	promoter
1-87820	promoter
1-6148	enhancer
1-109674	enhancer
1-33708	promoter
1-51098	promoter
1-25962	enhancer
1-49529	promoter
1-35616	promoter
1-38906	enhancer
1-18033	enhancer
1-43971	enhancer
1-69181	promoter
1-19588	enhancer
1-95491	enhancer
1-19150	enhancer
1-11174	enhancer
1-49409	enhancer
1-50046	enhancer
1-65217	enhancer
1-98458	enhancer
1-99426	enhancer
1-54034	promoter
1-64068	enhancer
1-32190	enhancer
1-46229	promoter
1-11830	promoter
1-90741	enhancer
1-43973	enhancer
1-44148	promoter
1-29205	promoter
1-4947	enhancer
1-93036	enhancer
1-21577	enhancer
1-33012	promoter
1-29491	enhancer
1-85855	promoter
1-47593	enhancer
1-43330	promoter
1-47366	enhancer
1-95372	enhancer
1-49110	enhancer
1-97067	enhancer
1-22941	promoter
1-81024	promoter
1-88513	enhancer
1-44644	enhancer
1-22493	promoter
1-83289	enhancer
1-100965	enhancer
1-90077	enhancer
1-96289	promoter
1-67953	promoter
1-45315	enhancer
1-95815	enhancer
1-2808	enhancer
1-11519	promoter
1-56593	enhancer
1-106959	enhancer
1-31692	enhancer
1-66761	enhancer
1-13092	promoter
1-73231	promoter
1-6792	promoter
1-728	promoter
1-87527	promoter
1-15520	promoter
1-103109	promoter
1-62181	promoter
1-19210	promoter
1-33876	promoter
1-67126	enhancer
1-1637	enhancer
1-44630	promoter
1-76121	enhancer
1-84011	enhancer
1-63455	enhancer
1-36569	promoter
1-29031	enhancer
1-80826	promoter
1-19731	promoter
1-87266	promoter
1-98730	enhancer
1-103754	promoter
1-64295	enhancer
1-78733	promoter
1-56625	promoter
1-16130	enhancer
1-81603	enhancer
1-81699	promoter
1-56080	promoter
1-12393	promoter
1-107472	enhancer
1-100841	enhancer
1-77749	enhancer
1-40751	enhancer
1-105272	enhancer
1-19201	enhancer
1-54700	enhancer
1-48343	promoter
1-92761	enhancer
1-73477	enhancer
1-61555	enhancer
1-30503	enhancer
1-79345	enhancer
1-17809	enhancer
1-24652	enhancer
1-84944	enhancer
1-62617	enhancer
1-33727	enhancer
1-99351	enhancer
1-110457	enhancer
1-8792	promoter
1-82323	enhancer
1-13214	enhancer
1-35355	enhancer
1-41441	enhancer
1-29570	enhancer
1-63351	enhancer
1-43806	promoter
1-6673	promoter
1-87575	enhancer
1-28313	enhancer
1-92891	promoter
1-38025	enhancer
1-19846	enhancer
1-316	promoter
1-8242	enhancer
1-84158	promoter
1-51581	promoter
1-15818	promoter
1-1057	enhancer
1-5577	enhancer
1-85642	enhancer
1-46671	enhancer
1-66435	enhancer
1-36731	enhancer
1-19546	enhancer
1-79389	enhancer
1-81489	enhancer
1-41545	enhancer
1-3663	enhancer
1-87726	promoter
1-95419	enhancer
1-21491	promoter
1-42685	enhancer
1-73587	enhancer
1-65157	enhancer
1-67105	enhancer
1-106993	enhancer
1-45381	enhancer
1-42858	promoter
1-83465	enhancer
1-64524	enhancer
1-22151	promoter
1-107491	promoter
1-84346	enhancer
1-68490	enhancer
1-36821	promoter
1-26488	promoter
1-8628	promoter
1-65929	promoter
1-107060	enhancer
1-108140	enhancer
1-102398	enhancer
1-50270	promoter
1-95647	enhancer
1-87207	enhancer
1-17399	enhancer
1-77326	enhancer
1-85778	promoter
1-82983	enhancer
1-71698	enhancer
1-110342	enhancer
1-54934	enhancer
1-63528	enhancer
1-51841	promoter
1-28111	promoter
1-17	enhancer
1-42316	promoter
1-58039	enhancer
1-7482	enhancer
1-43075	promoter
1-29770	enhancer
1-98732	enhancer
1-14746	enhancer
1-42423	promoter
1-93796	enhancer
1-48361	enhancer
1-37346	enhancer
1-33222	promoter
1-91853	enhancer
1-11562	enhancer
1-28488	enhancer
1-9723	enhancer
1-35258	enhancer
1-20971	enhancer
1-104790	promoter
1-58084	promoter
1-102106	enhancer
1-5466	enhancer
1-8622	promoter
1-54141	enhancer
1-13946	promoter
1-65636	enhancer
1-17276	enhancer
1-11022	promoter
1-67896	enhancer
1-99758	enhancer
1-9101	enhancer
1-30606	promoter
1-43137	enhancer
1-13727	enhancer
1-36218	enhancer
1-24664	promoter
1-22620	enhancer
1-11578	enhancer
1-3410	promoter
1-14273	enhancer
1-65032	promoter
1-45391	promoter
1-99120	enhancer
1-78946	enhancer
1-91644	enhancer
1-52536	promoter
1-107546	promoter
1-89604	enhancer
1-85644	enhancer
1-67132	promoter
1-11454	promoter
1-84007	enhancer
1-106777	enhancer
1-14894	enhancer
1-13341	promoter
1-38141	promoter
1-107018	promoter
1-846	promoter
1-50817	promoter
1-48534	enhancer
1-85975	enhancer
1-64066	enhancer
1-80969	enhancer
1-104393	enhancer
1-11018	enhancer
1-48233	enhancer
1-93829	promoter
1-4124	enhancer
1-107945	enhancer
1-93739	promoter
1-59948	promoter
1-32873	promoter
1-68194	promoter
1-97343	enhancer
1-102976	promoter
1-68393	enhancer
1-70910	enhancer
1-32287	enhancer
1-92640	enhancer
1-62081	promoter
1-87953	promoter
1-98040	enhancer
1-106094	promoter
1-63204	enhancer
1-84783	enhancer
1-102769	promoter
1-55726	enhancer
1-78017	enhancer
1-56813	promoter
1-101625	enhancer
1-59984	enhancer
1-61339	promoter
1-105534	enhancer
1-630	enhancer
1-23350	enhancer
1-11463	promoter
1-51343	enhancer
1-17022	enhancer
1-86789	enhancer
1-97413	enhancer
1-38894	promoter
1-26886	enhancer
1-63782	enhancer
1-12735	promoter
1-22960	promoter
1-35097	promoter
1-28936	enhancer
1-106445	enhancer
1-66683	enhancer
1-83512	enhancer
1-4222	enhancer
1-87064	promoter
1-33721	promoter
1-73610	enhancer
1-88426	enhancer
1-70963	enhancer
1-10480	enhancer
1-87664	promoter
1-59322	promoter
1-100085	enhancer
1-36556	enhancer
1-14410	enhancer
1-51280	promoter
1-79073	promoter
1-4662	enhancer
1-54871	promoter
1-68682	enhancer
1-54724	enhancer
1-109922	promoter
1-69635	enhancer
1-41926	enhancer
1-49597	promoter
1-72315	enhancer
1-59279	enhancer
1-101708	enhancer
1-44926	enhancer
1-65247	enhancer
1-81691	promoter
1-90299	enhancer
1-47145	promoter
1-89927	enhancer
1-35972	enhancer
1-84664	enhancer
1-78107	enhancer
1-48996	enhancer
1-102166	enhancer
1-49868	enhancer
1-41821	enhancer
1-89757	enhancer
1-105373	promoter
1-5699	enhancer
1-19555	promoter
1-66255	promoter
1-7039	enhancer
1-94709	enhancer
1-6513	promoter
1-77905	enhancer
1-101905	enhancer
1-38320	enhancer
1-51384	enhancer
1-56872	promoter
1-51069	promoter
1-71487	promoter
1-57046	enhancer
1-42330	promoter
1-667	enhancer
1-109504	promoter
1-84344	enhancer
1-77195	enhancer
1-25685	promoter
1-21179	enhancer
1-67482	promoter
1-98073	promoter
1-38627	enhancer
1-53679	enhancer
1-42228	enhancer
1-93185	enhancer
1-17086	enhancer
1-16894	enhancer
1-3488	promoter
1-15179	enhancer
1-85719	promoter
1-52391	promoter
1-51335	enhancer
1-83616	enhancer
1-40155	promoter
1-100970	enhancer
1-24604	enhancer
1-2924	promoter
1-56348	promoter
1-79023	enhancer
1-36219	enhancer
1-96352	enhancer
1-98011	enhancer
1-73597	promoter
1-95974	promoter
1-14876	enhancer
1-88216	enhancer
1-15245	enhancer
1-99885	promoter
1-80681	enhancer
1-87887	promoter
1-82783	enhancer
1-51316	enhancer
1-56893	promoter
1-76031	enhancer
1-51201	promoter
1-20480	enhancer
1-38210	enhancer
1-38800	enhancer
1-4671	promoter
1-33492	enhancer
1-80449	promoter
1-95845	enhancer
1-48626	enhancer
1-40544	enhancer
1-94908	enhancer
1-2853	enhancer
1-110525	promoter
1-108429	enhancer
1-12497	enhancer
1-8626	promoter
1-106914	promoter
